province,percentage
Newfoundland and Labrador,0.125
Prince Edward Island,0.149
Nova Scotia,0.144
New Brunswick,0.102
Quebec,0.215
Ontario,0.094
Manitoba,0.158
Saskatchewan,0.172
Alberta,0.149
British Columbia,0.177
Canada,0.1485
